TIC_ID,Period_Days,Star_Mass,Star_Temp_K,Planet_Dist_AU,HZ_Inner_AU,HZ_Outer_AU,Habitability
88863718,1.9318,1.565,7070.0,0.0352,2.8637,4.1255,🔥 ΠΟΛΥ ΚΑΥΤΟΣ (Lava World)
169904935,4.5511,,,,,,❓ ΑΓΝΩΣΤΟ (Λείπουν αστρικά δεδομένα)
231663901,1.4302,1.05,5824.0,0.0253,0.8629,1.2431,🔥 ΠΟΛΥ ΚΑΥΤΟΣ (Lava World)
107782586,1.9602,,,,,,❓ ΑΓΝΩΣΤΟ (Λείπουν αστρικά δεδομένα)
96246348,1.4099,,,,,,❓ ΑΓΝΩΣΤΟ (Λείπουν αστρικά δεδομένα)
238374636,1.324,1.08,5935.0,0.0242,3.0103,4.3367,🔥 ΠΟΛΥ ΚΑΥΤΟΣ (Lava World)
297967252,9.6828,,12942.0,,,,❓ ΑΓΝΩΣΤΟ (Λείπουν αστρικά δεδομένα)
20318757,5.2619,0.67,4272.0,0.0518,0.3546,0.5108,🔥 ΠΟΛΥ ΚΑΥΤΟΣ (Lava World)
146589986,5.6649,2.68,10395.0,0.0864,7.2162,10.3961,🔥 ΠΟΛΥ ΚΑΥΤΟΣ (Lava World)
146172354,3.7784,1.03,5771.0,0.0479,1.1181,1.6108,🔥 ΠΟΛΥ ΚΑΥΤΟΣ (Lava World)
361413119,6.0738,1.09,5964.0,0.067,2.4689,3.5568,🔥 ΠΟΛΥ ΚΑΥΤΟΣ (Lava World)
309787037,1.3033,1.45,6762.0,0.0264,2.289,3.2977,🔥 ΠΟΛΥ ΚΑΥΤΟΣ (Lava World)
16288184,2.1808,1.198,6218.0,0.035,1.404,2.0226,🔥 ΠΟΛΥ ΚΑΥΤΟΣ (Lava World)
366989877,15.5031,1.14,6096.0,0.1271,1.2427,1.7903,🔥 ΠΟΛΥ ΚΑΥΤΟΣ (Lava World)
320004517,17.4696,1.04,5783.54,0.1335,0.9311,1.3414,🔥 ΠΟΛΥ ΚΑΥΤΟΣ (Lava World)
406976746,9.5632,0.9,5249.0,0.0851,0.623,0.8975,🔥 ΠΟΛΥ ΚΑΥΤΟΣ (Lava World)
79748331,11.9852,0.74,4656.0,0.0927,0.4564,0.6575,🔥 ΠΟΛΥ ΚΑΥΤΟΣ (Lava World)
201642601,3.1314,0.69,4435.0,0.037,0.4309,0.6207,🔥 ΠΟΛΥ ΚΑΥΤΟΣ (Lava World)
120247528,3.5548,0.98,5550.0,0.0453,0.9809,1.4131,🔥 ΠΟΛΥ ΚΑΥΤΟΣ (Lava World)
380589029,1.3486,1.18,6185.0,0.0252,1.2538,1.8062,🔥 ΠΟΛΥ ΚΑΥΤΟΣ (Lava World)
468148930,3.7175,1.04,5787.0,0.0476,1.9932,2.8715,🔥 ΠΟΛΥ ΚΑΥΤΟΣ (Lava World)
150428135,37.426,0.413261,3494.0,0.1631,0.1462,0.2107,🌍 ΚΑΤΟΙΚΙΣΙΜΗ ΖΩΝΗ! (Liquid Water Possible)
