TIC_ID,Period,Probability,Distance,Verdict
106997505,2.745154109218437,0.9592,1.6965,❌ ANOMALY (Noise/Artifact)
124709665,1.8673702699999999,0.5007,1.0063,❌ ANOMALY (Noise/Artifact)
88863718,1.9318397517234471,0.8634,0.8951,✅ PLANET CANDIDATE
50365310,2.1715659699799597,0.9741,1.9846,❌ ANOMALY (Noise/Artifact)
156115721,2.5050427811422846,0.954,1.55,❌ ANOMALY (Noise/Artifact)
238597883,3.57337211744489,0.9893,2.7882,❌ ANOMALY (Noise/Artifact)
169904935,4.551050471392785,0.8746,0.852,✅ PLANET CANDIDATE
65212867,6.995414126753507,-,-,❌ ECLIPSING BINARY (Odd/Even Ratio: 82.9%)
440801822,2.0485807480460925,0.9565,1.5553,❌ ANOMALY (Noise/Artifact)
231663901,1.4302265763627255,0.8171,0.681,✅ PLANET CANDIDATE
107782586,1.960224095561122,0.6907,0.6901,✅ PLANET CANDIDATE
139853601,0.6808019765330661,0.8774,1.0038,❌ ANOMALY (Noise/Artifact)
114018671,2.470256054549098,0.9976,3.5677,❌ ANOMALY (Noise/Artifact)
427508467,0.8842705953907816,0.9855,2.4609,❌ ANOMALY (Noise/Artifact)
155044736,1.3740096587374748,0.9614,1.7029,❌ ANOMALY (Noise/Artifact)
182943944,1.1041093567134268,0.9625,1.6787,❌ ANOMALY (Noise/Artifact)
175310067,12.677498566783568,0.4633,1.1291,🪨 NO PLANET
97700520,5.422836586172345,0.9952,3.2587,❌ ANOMALY (Noise/Artifact)
96246348,1.4099421029258519,0.8588,0.8267,✅ PLANET CANDIDATE
291555748,4.858248120240481,-,-,❌ ECLIPSING BINARY (Odd/Even Ratio: 72.3%)
341420329,5.233576341002005,0.9613,1.8272,❌ ANOMALY (Noise/Artifact)
149603524,4.411495122124248,0.9341,1.2841,❌ ANOMALY (Noise/Artifact)
143994283,1.910893876753507,0.9861,2.3865,❌ ANOMALY (Noise/Artifact)
140706664,3.287931346693387,0.9725,2.0226,❌ ANOMALY (Noise/Artifact)
238374636,1.3239640833366733,0.8195,0.8002,✅ PLANET CANDIDATE
47384844,3.247425056112225,-,-,❌ ECLIPSING BINARY (Odd/Even Ratio: 71.1%)
141482386,18.010284458917834,0.9955,3.8006,❌ ANOMALY (Noise/Artifact)
297967252,9.682820480280562,0.7771,0.5253,✅ PLANET CANDIDATE
388624270,13.549731914999999,0.9089,1.7889,❌ ANOMALY (Noise/Artifact)
447283466,1.018605240480962,-,-,❌ ECLIPSING BINARY (Odd/Even Ratio: 64.0%)
374908020,34.411033,0.9891,8.01,❌ ANOMALY (Noise/Artifact)
336732616,3.5482094963927855,0.8866,1.0152,❌ ANOMALY (Noise/Artifact)
20318757,10.952499123246493,-,-,❌ ECLIPSING BINARY (Odd/Even Ratio: 74.6%)
20318757,5.2618956599999995,0.7294,0.5633,✅ PLANET CANDIDATE
20318757,3.3502442424348695,-,-,❌ ECLIPSING BINARY (Odd/Even Ratio: 63.2%)
464296022,11.518419305,-,-,❌ ECLIPSING BINARY (Odd/Even Ratio: 69.0%)
400595342,3.6459105015531064,-,-,❌ ECLIPSING BINARY (Odd/Even Ratio: 84.2%)
149601557,27.56535637,0.9793,2.3634,❌ ANOMALY (Noise/Artifact)
304021498,5.647525444188377,0.9284,1.3255,❌ ANOMALY (Noise/Artifact)
146589986,5.664937972184369,0.8689,0.9014,✅ PLANET CANDIDATE
146172354,3.7783850713827656,0.794,0.6506,✅ PLANET CANDIDATE
361413119,6.073839037905812,0.7996,0.5541,✅ PLANET CANDIDATE
461867584,4.4223394914829655,0.9506,1.4892,❌ ANOMALY (Noise/Artifact)
